#F diff_pat.dat
#S 1 diff_pat run
#C results of diff_pat run
#N 7
#L  Th-ThB{in} [microrad]  Th-ThB{out} [microrad]  phase_p[rad]  phase_s[rad]  Circ Polariz  p-polarized  s-polarized
 -49.748744      -49.748744       5.5190177       5.5191337     -0.11830850E-05  0.89362404E-02  0.11659067E-01
 -48.743719      -48.743719       5.5189134       5.5190317     -0.12388748E-05  0.91636654E-02  0.11957448E-01
 -47.738693      -47.738693       5.5188064       5.5189273     -0.12979875E-05  0.93999421E-02  0.12267532E-01
 -46.733668      -46.733668       5.5186967       5.5188202     -0.13606627E-05  0.96455388E-02  0.12589943E-01
 -45.728643      -45.728643       5.5185843       5.5187104     -0.14271604E-05  0.99009555E-02  0.12925350E-01
 -44.723618      -44.723618       5.5184689       5.5185978     -0.14977626E-05  0.10166727E-01  0.13274467E-01
 -43.718593      -43.718593       5.5183505       5.5184823     -0.15727760E-05  0.10443423E-01  0.13638058E-01
 -42.713568      -42.713568       5.5182289       5.5183637     -0.16525341E-05  0.10731658E-01  0.14016942E-01
 -41.708543      -41.708543       5.5181041       5.5182419     -0.17373999E-05  0.11032085E-01  0.14411998E-01
 -40.703518      -40.703518       5.5179758       5.5181167     -0.18277690E-05  0.11345407E-01  0.14824170E-01
 -39.698492      -39.698492       5.5178440       5.5179882     -0.19240729E-05  0.11672380E-01  0.15254469E-01
 -38.693467      -38.693467       5.5177084       5.5178560     -0.20267828E-05  0.12013814E-01  0.15703988E-01
 -37.688442      -37.688442       5.5175690       5.5177200     -0.21364134E-05  0.12370583E-01  0.16173901E-01
 -36.683417      -36.683417       5.5174255       5.5175801     -0.22535282E-05  0.12743626E-01  0.16665474E-01
 -35.678392      -35.678392       5.5172777       5.5174361     -0.23787439E-05  0.13133958E-01  0.17180075E-01
 -34.673367      -34.673367       5.5171256       5.5172878     -0.25127368E-05  0.13542674E-01  0.17719184E-01
 -33.668342      -33.668342       5.5169687       5.5171349     -0.26562488E-05  0.13970958E-01  0.18284401E-01
 -32.663317      -32.663317       5.5168070       5.5169773     -0.28100950E-05  0.14420092E-01  0.18877462E-01
 -31.658291      -31.658291       5.5166402       5.5168148     -0.29751716E-05  0.14891465E-01  0.19500252E-01
 -30.653266      -30.653266       5.5164680       5.5166471     -0.31524651E-05  0.15386587E-01  0.20154818E-01
